date,ts,symbol,close,change,rvol,float_m,vol_m,news_age_d,news_tag,news_headline,mode
2026-06-11,2026-06-11 20:11,NASDAQ:PPCB,3.21,137.78,6168.1,2.04,22.24,,,,premarket
2026-06-11,2026-06-11 20:11,NASDAQ:RKDA,1.11,25.08,864.0,2.05,20.85,,,,premarket
2026-06-11,2026-06-11 20:11,NASDAQ:VRA,3.54,11.32,75.1,18.62,4.55,,,,premarket
2026-06-11,2026-06-11 20:11,NASDAQ:GLXG,2.86,161.24,60.6,1.71,30.39,,,,premarket
2026-06-11,2026-06-11 20:11,AMEX:TMDE,1.16,18.68,9.4,16.53,6.77,,,,premarket
2026-06-11,2026-06-11 20:11,NASDAQ:MTEN,2.28,30.41,2.0,0.84,4.05,,,,premarket
2026-06-15,2026-06-15 08:01,NASDAQ:CUPR,3.25,35.28,349.8,0.92,9.89,2.0,,GlobeNewswire: Cuprina Holdings (Cayman) Limited Regains Compliance with Nasdaq Listing Requirements,premarket
2026-06-15,2026-06-15 08:01,NASDAQ:UBXG,6.01,26.1,103.7,1.38,7.23,27.0,,Dow Jones Newswires: U-BX Technology Class A Shrs Will Begin Trading on Adjusted Basis Giving Effect to Reverse Split on May 22 >UBXG,premarket
2026-06-15,2026-06-15 08:01,NASDAQ:AKAN,20.73,35.61,93.8,0.54,0.99,2.0,,Stocktwits: Why Is AKAN Stock Surging Today?,premarket
2026-06-15,2026-06-15 08:25,NASDAQ:BYAH,1.75,173.33,20.4,1.02,0.19,458.0,,Quartr: BYAH: High-margin skincare business with broad China presence and ongoing R&D-driven growth,premarket
2026-06-15,2026-06-15 08:25,NASDAQ:VSME,3.56,59.01,3.8,2.57,4.18,4.0,,"dpa-AFX: Morning Market Movers: VSME, CIIT, MSW, HWH See Big Swings",premarket
2026-06-15,2026-06-15 08:01,NASDAQ:CIIT,1.8,13.92,3.5,1.27,3.29,4.0,,"dpa-AFX: Morning Market Movers: VSME, CIIT, MSW, HWH See Big Swings",premarket
2026-06-15,2026-06-15 08:01,NASDAQ:MASK,2.68,18.06,3.4,0.82,12.24,37.0,DEAL,"Reuters: 3 E Network Launches Proactive Financing Strategy To Accelerate Semiconductor Blueprint, Officially Establishing Chip Business Unit",premarket
2026-06-15,2026-06-15 08:01,NASDAQ:DSY,6.89,77.32,2.5,1.25,16.39,3.0,,"dpa-AFX: Morning Market Movers: GLXG, PPCB, DSY, VSME See Big Swings",premarket
2026-06-16,2026-06-16 08:10,NASDAQ:JRSH,5.22,52.31,478.3,6.33,18.5,0.0,,Quartr: JRSH: Expanding apparel manufacturer in Jordan posts strong FY2026 growth and robust outlook,premarket
2026-06-16,2026-06-16 10:01,AMEX:RGNT,6.95,13.33,14.8,2.48,0.33,0.0,,Stocktwits: Why Did RGNT Stock Surge More Than 850% Today?,premarket
2026-06-16,2026-06-16 10:01,NASDAQ:CAST,3.02,212.26,7.0,16.52,0.48,14.0,DEAL,Reuters: Freecast Launches Multi-City Advertising Campaign Through Agreement With New To The Street,premarket
2026-06-16,2026-06-16 10:01,NASDAQ:AHMA,1.98,37.04,6.5,2.14,0.78,46.0,EARNINGS,"Quartr: AHMA: 2025 revenue rose 9.1% to $20.2M, net income up 28.6%, led by MICE management growth",premarket
2026-06-16,2026-06-16 08:10,NASDAQ:CUPR,10.94,175.82,5.7,0.92,10.96,0.0,FDA/CLIN,GlobeNewswire: Cuprina Receives U.S. FDA 510(k) Clearance for MEDIFLY Maggots  the First U.S. Clearance for a Lucilia cuprina Maggot Debridement Product,premarket
2026-06-16,2026-06-16 10:01,NASDAQ:HUBC,2.02,22.03,5.6,3.33,1.92,12.0,,Reuters: HUB Announces Reverse Share Split,premarket
2026-06-16,2026-06-16 10:01,NASDAQ:GLXG,1.79,15.07,4.1,1.71,0.1,4.0,,"dpa-AFX: Morning Market Movers: GLXG, PPCB, DSY, VSME See Big Swings",premarket
2026-06-16,2026-06-16 10:01,NASDAQ:MTEN,3.401,10.12,2.7,0.84,0.13,5.0,OFFERING,GlobeNewswire: Mingteng International Corporation Inc. Announces Closing of $2.26 Million Registered Direct Offering,premarket
2026-06-16,2026-06-16 10:01,NASDAQ:VSME,2.8,63.31,1.9,2.57,0.17,5.0,,"dpa-AFX: Morning Market Movers: VSME, CIIT, MSW, HWH See Big Swings",premarket
2026-06-16,2026-06-16 08:10,NASDAQ:GMM,4.07,21.43,1.8,1.02,6.58,3.0,,Stocktwits: GMM Stock Soared 60% Pre-Market Today  A Look At Some Key Highlights That Got Investors Talking,premarket
2026-06-16,2026-06-16 08:10,NASDAQ:CRMT,2.39,12.44,1.6,7.61,0.21,3.0,,TradingView: America's Car-Mart Extends Lender Forbearance to June 19 as Credit Amendment Nears,premarket
2026-06-16,2026-06-16 08:10,NASDAQ:DXST,2.88,26.75,0.8,1.22,1.94,6.0,DEAL,Reuters: Decent Holding Partners With Taihao Robotics To Launch Real-World Robotics Training Network In China,premarket
2026-06-16,2026-06-16 10:01,NASDAQ:BYAH,1.32,33.33,0.8,1.02,0.15,459.0,,Quartr: BYAH: High-margin skincare business with broad China presence and ongoing R&D-driven growth,premarket
2026-06-16,2026-06-16 10:01,NASDAQ:TDIC,10.38,12.15,0.1,15.39,3.06,35.0,,"GlobeNewswire: Dreamland Limiteds Subsidiary Trendic International Limited and LinkFung Innovation Limited Enter Into MoU to Explore Development, Implementation, and Deployment of a Comprehensive AI-Powered Intelligent Image Library Platform",premarket
2026-06-17,2026-06-17 08:01,NASDAQ:GDHG,2.29,40.49,6480.6,18.58,7.79,50.0,,Reuters: Golden Heaven Group Holdings Ltd - Files For Resale From Time To Time Of Up To 27.1 Million Class A Ordinary Shares By Selling Shareholders,premarket
2026-06-17,2026-06-17 08:15,NASDAQ:OBAI,1.1,69.64,766.9,14.71,0.14,0.0,,"GlobeNewswire: Bond Announces a City Has Purchased Bond Licenses for All 270,000 Residents, Validating New B2G2C Growth Channel",premarket
2026-06-17,2026-06-17 08:01,NASDAQ:MAMO,1.12,17.93,191.2,8.87,4.91,0.0,,Reuters: Massimo Group Announces Confirmed US Department Of Defense And US Army Fleet Orders,premarket
2026-06-17,2026-06-17 08:01,NASDAQ:CRVO,3.34,34.68,179.7,4.8,11.31,1.0,FDA/CLIN,"TradingView: Cervo posts investor presentation on website covering clinical, development and financial updates",premarket
2026-06-17,2026-06-17 08:01,NASDAQ:CRE,4.28,33.65,157.1,1.1,7.66,15.0,,"dpa-AFX: Morning Market Movers: HKIT, ANY, NAMM, CRE See Big Swings",premarket
2026-06-17,2026-06-17 08:01,NASDAQ:WNW,3.84,18.4,66.0,1.2,6.59,18.0,,"dpa-AFX: Morning Market Movers: PRFX, OLOX, WNW, GMEX See Big Swings",premarket
2026-06-17,2026-06-17 08:01,NASDAQ:SUGP,2.4,172.57,32.6,0.47,153.4,0.0,,Stocktwits: Why Did SUGP Stock Surge 160% Today?,premarket
2026-06-17,2026-06-17 08:01,NASDAQ:CCTG,0.906,16.41,7.6,3.01,11.14,139.0,DEAL,"GlobeNewswire: CCSC Technology International Holdings Limited Launches eNaviX, Expanding Access to Carbon Monitoring and Carbon Credit Monetization for SMEs",premarket
2026-06-17,2026-06-17 08:01,NASDAQ:AHMA,3.01,55.7,3.1,2.14,15.01,47.0,EARNINGS,"Quartr: AHMA: 2025 revenue rose 9.1% to $20.2M, net income up 28.6%, led by MICE management growth",premarket
